GPU 0: Tesla V100-SXM2-32GB (UUID: GPU-3ceb3a71-cd56-6d10-075e-0300bd506c22)
GPU 1: Tesla V100-SXM2-32GB (UUID: GPU-aa23eb12-62a1-161f-b566-3a8b5d0c6278)
GPU 2: Tesla V100-SXM2-32GB (UUID: GPU-f364b813-c606-1786-40be-f6645f3c33eb)
GPU 3: Tesla V100-SXM2-32GB (UUID: GPU-07e14590-993d-404b-4a47-f65d0c4b23e0)
GPU 4: Tesla V100-SXM2-32GB (UUID: GPU-c1aa8bd9-f642-328d-96f8-79d7c38ce61e)
GPU 5: Tesla V100-SXM2-32GB (UUID: GPU-c275f176-56b9-eb8d-14d7-a3fd15a0ec03)
GPU 6: Tesla V100-SXM2-32GB (UUID: GPU-d5302639-be81-61f0-5e1a-b8f421bb100b)
GPU 7: Tesla V100-SXM2-32GB (UUID: GPU-dd6f7287-63a3-17c4-64c2-1eb597391f4b)
cc -O3 -ffast-math -march=native -Wall -Wextra -std=c99 -D_GNU_SOURCE -fno-finite-math-only -I. -c -o tests/v100_context_smoke.o tests/v100_context_smoke.c
cc -O3 -ffast-math -march=native -Wall -Wextra -std=c99 -D_GNU_SOURCE -fno-finite-math-only -I. -c -o ds4_v100_context.o ds4_v100_context.c
cc -O3 -ffast-math -march=native -Wall -Wextra -std=c99 -D_GNU_SOURCE -fno-finite-math-only -c -o ds4_pack.o ds4_pack.c
cc -O3 -ffast-math -march=native -Wall -Wextra -std=c99 -D_GNU_SOURCE -fno-finite-math-only -o tests/v100_context_smoke tests/v100_context_smoke.o ds4_v100_context.o ds4_pack.o -lm -pthread
cc -O3 -ffast-math -march=native -Wall -Wextra -std=c99 -D_GNU_SOURCE -fno-finite-math-only -I. -D_FILE_OFFSET_BITS=64 -c -o tools/ds4-v100-context-smoke.o tools/ds4-v100-context-smoke.c
cc -O3 -ffast-math -march=native -Wall -Wextra -std=c99 -D_GNU_SOURCE -fno-finite-math-only -o tools/ds4-v100-context-smoke tools/ds4-v100-context-smoke.o ds4_v100_context.o ds4_pack.o -lm -pthread
v100_context_smoke: ok
ds4_v100_context_report
expected_gpus	8
mode	0
policy	bf16_fp8_fp4_are_not_native_v100_tensor_core_formats
policy	production_dense_gemm_target_fp16_hmma_with_fp32_accumulation
kv_ctx_tokens	1048576
kv_active_slots	1
tensor_count	0
exec_count	f32_control	0
exec_count	f16_hmma_after_convert	0
exec_count	lowbit_kernel	0
exec_count	diagnostic_only	0
exec_count	unsupported	0
layer_class_count	swa_only	2
layer_class_count	ratio_4	21
layer_class_count	ratio_128	20
stage	gpu	layers	arena_bytes	scratch_bytes	relay_f16_bytes	relay_f32_debug_bytes	kv_raw_swa_bytes	kv_compressed_attn_bytes	kv_indexer_bytes	kv_compression_state_bytes	planned_kv_bytes	reserve_bytes	device_total_bytes
0	0	0-5	0	0	65536	0	786432	553648128	134217728	1212416	689864704	2147483648	0
1	1	6-11	0	0	65536	0	786432	830472192	201326592	1818624	1034403840	2147483648	0
2	2	12-17	0	0	65536	0	786432	830472192	201326592	1818624	1034403840	2147483648	0
3	3	18-23	0	0	65536	0	786432	830472192	201326592	1818624	1034403840	2147483648	0
4	4	24-29	0	0	65536	0	786432	830472192	201326592	1818624	1034403840	2147483648	0
5	5	30-34	0	0	65536	0	655360	822083584	201326592	1294336	1025359872	2147483648	0
6	6	35-39	0	0	65536	0	655360	562036736	134217728	1736704	698646528	2147483648	0
7	7	40-42	0	0	65536	0	393216	545259520	134217728	688128	680558592	2147483648	0
layer_skeleton_begin
layer	stage	class	kv_bytes	tensors	f32_control	fp8_dense	mxfp4_expert	hc_control	status
0	0	swa_only	131072	0	0	0	0	0	OK
1	0	swa_only	131072	0	0	0	0	0	OK
2	0	ratio_4	335757312	0	0	0	0	0	OK
3	0	ratio_128	9043968	0	0	0	0	0	OK
4	0	ratio_4	335757312	0	0	0	0	0	OK
5	0	ratio_128	9043968	0	0	0	0	0	OK
6	1	ratio_4	335757312	0	0	0	0	0	OK
7	1	ratio_128	9043968	0	0	0	0	0	OK
8	1	ratio_4	335757312	0	0	0	0	0	OK
9	1	ratio_128	9043968	0	0	0	0	0	OK
10	1	ratio_4	335757312	0	0	0	0	0	OK
11	1	ratio_128	9043968	0	0	0	0	0	OK
12	2	ratio_4	335757312	0	0	0	0	0	OK
13	2	ratio_128	9043968	0	0	0	0	0	OK
14	2	ratio_4	335757312	0	0	0	0	0	OK
15	2	ratio_128	9043968	0	0	0	0	0	OK
16	2	ratio_4	335757312	0	0	0	0	0	OK
17	2	ratio_128	9043968	0	0	0	0	0	OK
18	3	ratio_4	335757312	0	0	0	0	0	OK
19	3	ratio_128	9043968	0	0	0	0	0	OK
20	3	ratio_4	335757312	0	0	0	0	0	OK
21	3	ratio_128	9043968	0	0	0	0	0	OK
22	3	ratio_4	335757312	0	0	0	0	0	OK
23	3	ratio_128	9043968	0	0	0	0	0	OK
24	4	ratio_4	335757312	0	0	0	0	0	OK
25	4	ratio_128	9043968	0	0	0	0	0	OK
26	4	ratio_4	335757312	0	0	0	0	0	OK
27	4	ratio_128	9043968	0	0	0	0	0	OK
28	4	ratio_4	335757312	0	0	0	0	0	OK
29	4	ratio_128	9043968	0	0	0	0	0	OK
30	5	ratio_4	335757312	0	0	0	0	0	OK
31	5	ratio_128	9043968	0	0	0	0	0	OK
32	5	ratio_4	335757312	0	0	0	0	0	OK
33	5	ratio_128	9043968	0	0	0	0	0	OK
34	5	ratio_4	335757312	0	0	0	0	0	OK
35	6	ratio_128	9043968	0	0	0	0	0	OK
36	6	ratio_4	335757312	0	0	0	0	0	OK
37	6	ratio_128	9043968	0	0	0	0	0	OK
38	6	ratio_4	335757312	0	0	0	0	0	OK
39	6	ratio_128	9043968	0	0	0	0	0	OK
40	7	ratio_4	335757312	0	0	0	0	0	OK
41	7	ratio_128	9043968	0	0	0	0	0	OK
42	7	ratio_4	335757312	0	0	0	0	0	OK
layer_skeleton_result	OK
context_smoke_result	OK
